epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
171,4996.96,0.50278,0.46004,1.00475,0.71377,0.59113,0.62283,0.53534,0.79803,1.51251,1.25576,0.00439,0.00439,0.00439
172,5026.44,0.49893,0.45579,1.00544,0.71533,0.58256,0.62231,0.53947,0.81516,1.5214,1.2587,0.004357,0.004357,0.004357
173,5056.05,0.49522,0.44944,0.99795,0.68672,0.60433,0.62467,0.53848,0.8172,1.53059,1.26673,0.004324,0.004324,0.004324
174,5085.51,0.49218,0.44958,1.00012,0.71745,0.58544,0.62562,0.54415,0.81934,1.48063,1.26703,0.004291,0.004291,0.004291
175,5114.99,0.49195,0.44508,0.99576,0.69329,0.61188,0.63811,0.55595,0.80774,1.45033,1.25522,0.004258,0.004258,0.004258
176,5144.78,0.49191,0.45249,0.99654,0.72286,0.59714,0.62836,0.55217,0.79664,1.47945,1.25295,0.004225,0.004225,0.004225
177,5174.26,0.49328,0.45129,0.99851,0.71303,0.59984,0.62177,0.54269,0.79006,1.51553,1.25975,0.004192,0.004192,0.004192
178,5203.98,0.49415,0.45096,0.9981,0.67855,0.64139,0.64584,0.55554,0.79072,1.44989,1.25504,0.004159,0.004159,0.004159
179,5233.51,0.48472,0.44135,0.99161,0.71931,0.60877,0.64645,0.55763,0.79517,1.44665,1.25074,0.004126,0.004126,0.004126
180,5263.24,0.49329,0.4498,0.99938,0.71744,0.62041,0.6527,0.56473,0.79107,1.45752,1.24176,0.004093,0.004093,0.004093
181,5292.78,0.48715,0.44423,0.99542,0.70343,0.63149,0.65152,0.56319,0.79431,1.44648,1.25401,0.00406,0.00406,0.00406
182,5322.26,0.48469,0.44071,0.99493,0.72699,0.62465,0.64794,0.55759,0.80122,1.44383,1.25892,0.004027,0.004027,0.004027
183,5351.91,0.48507,0.44158,0.99776,0.71596,0.5915,0.64215,0.55746,0.80109,1.41091,1.2529,0.003994,0.003994,0.003994
184,5381.43,0.4854,0.44153,0.99592,0.70487,0.59336,0.63221,0.55436,0.80355,1.43165,1.2594,0.003961,0.003961,0.003961
185,5411.07,0.48573,0.43796,0.99381,0.6805,0.63689,0.64953,0.56591,0.79509,1.43095,1.26046,0.003928,0.003928,0.003928
186,5440.6,0.48368,0.43528,0.99333,0.67459,0.62957,0.63488,0.55476,0.78431,1.43659,1.23886,0.003895,0.003895,0.003895
187,5470.14,0.47563,0.4319,0.98712,0.68964,0.64014,0.62726,0.54621,0.77888,1.46154,1.23156,0.003862,0.003862,0.003862
188,5499.72,0.47699,0.43314,0.98872,0.68066,0.63494,0.6336,0.55833,0.79304,1.50227,1.25136,0.003829,0.003829,0.003829
